Date,time,Wind Speed(m/s),Wind Direction(degree),Atmospheric Temperature(°C),Atmospheric Humidity(%),24-hour Cumulative Rainfall(mm/24h),Solar Radiation(W/m2)
2026-06-09,16:02:22,0.0,0,16.8,63.5,0.0,0
2026-06-09,16:03:22,0.0,0,16.8,63.4,0.0,0
2026-06-09,16:04:22,0.0,0,16.9,63.4,0.0,0
2026-06-09,16:05:22,0.0,0,16.9,63.3,0.0,0
2026-06-09,16:06:22,0.0,0,16.9,63.3,0.0,0
2026-06-09,16:07:23,0.0,0,16.9,63.2,0.0,0
2026-06-09,16:08:23,0.0,0,16.9,63.3,0.0,0
2026-06-09,16:09:23,0.0,0,16.9,63.2,0.0,0
2026-06-09,16:10:23,0.0,0,16.9,63.3,0.0,0
2026-06-09,16:11:23,0.0,0,16.9,63.3,0.0,0
2026-06-09,16:12:23,0.0,0,16.9,63.2,0.0,0
2026-06-09,16:13:23,0.0,0,16.9,63.1,0.0,0
2026-06-09,16:14:23,0.0,0,16.9,63.2,0.0,0
2026-06-09,16:15:23,0.0,0,16.9,63.3,0.0,0
2026-06-09,16:16:23,0.0,0,16.9,63.3,0.0,0
2026-06-09,16:17:23,0.0,0,16.9,63.2,0.0,0
2026-06-09,16:18:23,0.0,0,16.9,63.2,0.0,0
2026-06-09,16:19:23,0.0,0,16.9,63.2,0.0,0
2026-06-09,16:20:23,0.0,0,16.9,63.2,0.0,0
2026-06-09,16:21:23,0.0,0,16.9,63.2,0.0,0
2026-06-09,16:22:23,0.0,0,16.9,63.2,0.0,0
2026-06-09,16:23:24,0.0,0,16.9,63.2,0.0,0
2026-06-09,16:24:24,0.0,0,16.9,63.2,0.0,0
2026-06-09,16:25:24,0.0,0,16.9,63.2,0.0,0
2026-06-09,16:26:24,0.0,0,16.9,63.2,0.0,0
2026-06-09,16:27:24,0.0,0,16.9,63.1,0.0,0
2026-06-09,16:28:24,0.0,0,16.9,63.2,0.0,0
2026-06-09,16:29:24,0.0,0,16.9,63.1,0.0,0
2026-06-09,16:30:24,0.0,0,16.9,63.1,0.0,0
2026-06-09,16:31:24,0.0,0,16.9,63.1,0.0,0
2026-06-09,16:32:24,0.0,0,16.9,63.1,0.0,0
2026-06-09,16:33:24,0.0,0,16.9,63.1,0.0,0
2026-06-09,16:34:24,0.0,0,16.9,63.1,0.0,0
2026-06-09,16:35:24,0.0,0,16.9,63.1,0.0,0
2026-06-09,16:36:24,0.0,0,16.9,63.1,0.0,0
2026-06-09,16:37:25,0.0,0,16.9,63.1,0.0,0
2026-06-09,16:38:24,0.0,0,16.9,63.1,0.0,0
2026-06-09,16:39:25,0.0,0,16.9,63.1,0.0,0
2026-06-09,16:40:25,0.0,0,16.9,63.1,0.0,0
2026-06-09,16:41:25,0.0,0,16.9,63.1,0.0,0
2026-06-09,16:42:25,0.0,0,16.9,63.1,0.0,0
2026-06-09,16:43:25,0.0,0,16.9,63.0,0.0,0
2026-06-09,16:44:25,0.0,0,16.9,63.1,0.0,0
2026-06-09,16:45:25,0.0,0,16.9,63.1,0.0,0
2026-06-09,16:46:25,0.0,0,16.9,63.1,0.0,0
2026-06-09,16:47:25,0.0,0,16.9,63.1,0.0,0
2026-06-09,16:48:25,0.0,0,16.9,63.1,0.0,0
2026-06-09,16:49:25,0.0,0,16.9,63.1,0.0,0
2026-06-09,16:50:25,0.0,0,16.9,63.1,0.0,0
2026-06-09,16:51:25,0.0,0,16.9,63.0,0.0,0
2026-06-09,16:52:26,0.0,0,16.9,63.1,0.0,0
2026-06-09,16:53:25,0.0,0,16.9,63.0,0.0,0
2026-06-09,16:54:25,0.0,0,16.9,63.0,0.0,0
2026-06-09,16:55:26,0.0,0,16.9,63.2,0.0,0
2026-06-09,16:56:26,0.0,0,16.9,63.1,0.0,0
2026-06-09,16:57:26,0.0,0,16.9,63.0,0.0,0
2026-06-09,16:58:26,0.0,0,16.9,63.0,0.0,0
2026-06-09,16:59:26,0.0,0,16.9,63.0,0.0,0
2026-06-09,17:00:26,0.0,0,16.9,63.0,0.0,0
2026-06-09,17:01:26,0.0,0,16.9,63.0,0.0,0
2026-06-09,17:02:26,0.0,0,16.9,63.0,0.0,0
2026-06-09,17:03:26,0.0,0,16.9,63.1,0.0,0
2026-06-09,17:04:26,0.0,0,16.9,63.1,0.0,0
2026-06-09,17:05:26,0.0,0,16.9,63.0,0.0,0
